Engine Speed (RPM),Throttle,Torque (Nm),Power (kW),Horsepower,Air Flow(g/s),Fuel Flow(g/s),IMEP (bar),BMEP (bar),PMEP (bar),FMEP (bar),BSFC (g/kWh),CO2(g/s),CO(g/s),NOx(g/s),HC(g/s),CO2 (g/kWh),CO (g/kWh),NOx (g/kWh),HC (g/kWh)
3400,1.0,328.544,116.977,156.869,97.58,7.077,13.023,11.801,0.149,1.073,217.792,21.868,0.371,0.531,0.004,672.977,11.412,16.343,0.131
3500,1.0,331.864,121.635,163.115,101.292,7.37,13.174,11.921,0.152,1.101,218.118,22.772,0.391,0.551,0.004,673.984,11.56,16.315,0.131
3600,1.0,332.947,125.518,168.323,104.442,7.623,13.245,11.959,0.156,1.13,218.644,23.556,0.409,0.568,0.005,675.609,11.719,16.302,0.131
3700,1.0,334.016,129.419,173.554,107.605,7.88,13.317,11.998,0.159,1.159,219.181,24.348,0.427,0.586,0.005,677.271,11.88,16.29,0.132
3800,1.0,334.925,133.278,178.729,110.74,8.135,13.383,12.031,0.163,1.19,219.744,25.138,0.446,0.603,0.005,679.01,12.042,16.279,0.132
3900,1.0,335.672,137.091,183.842,113.842,8.39,13.445,12.057,0.166,1.221,220.333,25.926,0.465,0.62,0.005,680.828,12.206,16.269,0.132
4000,1.0,336.404,140.913,188.967,116.954,8.648,13.507,12.084,0.17,1.253,220.934,26.722,0.484,0.636,0.005,682.685,12.372,16.261,0.133
4100,1.0,336.166,144.333,193.554,119.893,8.885,13.535,12.075,0.174,1.286,221.6,27.453,0.501,0.652,0.005,684.744,12.498,16.274,0.133
4200,1.0,335.909,147.74,198.123,122.833,9.122,13.563,12.066,0.177,1.32,222.283,28.188,0.518,0.668,0.005,686.853,12.626,16.289,0.133
4300,1.0,335.408,151.033,202.538,125.702,9.356,13.583,12.048,0.18,1.355,223.003,28.909,0.535,0.684,0.006,689.078,12.756,16.306,0.134
4400,1.0,334.665,154.203,206.789,128.496,9.585,13.595,12.021,0.184,1.39,223.762,29.617,0.552,0.699,0.006,691.426,12.889,16.326,0.134
4500,1.0,333.901,157.347,211.006,131.283,9.814,13.607,11.994,0.187,1.426,224.541,30.326,0.569,0.714,0.006,693.831,13.023,16.347,0.135
4600,1.0,332.893,160.358,215.044,133.989,10.038,13.612,11.958,0.191,1.463,225.361,31.019,0.586,0.729,0.006,696.366,13.161,16.37,0.135
4700,1.0,331.863,163.337,219.039,136.686,10.263,13.616,11.921,0.194,1.501,226.202,31.713,0.603,0.744,0.006,698.964,13.301,16.395,0.136
4800,1.0,330.812,166.284,222.991,139.374,10.488,13.62,11.883,0.198,1.539,227.064,32.408,0.621,0.758,0.006,701.628,13.442,16.421,0.136
4900,1.0,329.739,169.198,226.898,142.053,10.713,13.625,11.844,0.202,1.579,227.947,33.104,0.639,0.773,0.006,704.357,13.586,16.449,0.137
5000,1.0,328.645,172.078,230.76,144.723,10.939,13.629,11.805,0.205,1.619,228.852,33.801,0.656,0.788,0.007,707.152,13.731,16.477,0.137
5100,1.0,327.529,174.924,234.577,147.384,11.165,13.633,11.765,0.208,1.66,229.779,34.5,0.674,0.802,0.007,710.016,13.879,16.507,0.138
5200,1.0,326.392,177.734,238.346,150.036,11.391,13.638,11.724,0.212,1.702,230.728,35.199,0.693,0.817,0.007,712.949,14.028,16.539,0.138
5300,1.0,325.235,180.51,242.068,152.679,11.618,13.643,11.682,0.215,1.745,231.699,35.899,0.711,0.831,0.007,715.951,14.18,16.571,0.139
5400,1.0,324.056,183.249,245.741,155.313,11.845,13.647,11.64,0.219,1.788,232.694,36.6,0.73,0.845,0.007,719.024,14.334,16.605,0.14
5500,1.0,322.855,185.951,249.365,157.938,12.072,13.652,11.597,0.222,1.832,233.712,37.302,0.748,0.86,0.007,722.171,14.49,16.64,0.14
5600,1.0,320.827,188.143,252.303,160.226,12.274,13.628,11.524,0.226,1.877,234.864,37.928,0.766,0.872,0.007,725.731,14.656,16.685,0.141
5700,1.0,318.775,190.277,255.166,162.493,12.476,13.603,11.45,0.229,1.923,236.048,38.552,0.784,0.884,0.007,729.388,14.824,16.731,0.142
5800,1.0,316.699,192.355,257.952,164.741,12.677,13.579,11.376,0.233,1.97,237.263,39.173,0.801,0.897,0.008,733.144,14.995,16.779,0.142
5900,1.0,314.601,194.375,260.661,166.968,12.878,13.555,11.3,0.236,2.018,238.512,39.793,0.819,0.909,0.008,737.003,15.169,16.829,0.143
6000,1.0,312.478,196.336,263.291,169.175,13.078,13.53,11.224,0.24,2.066,239.795,40.411,0.837,0.921,0.008,740.967,15.347,16.882,0.144
6100,1.0,309.574,197.753,265.191,171.362,13.247,13.478,11.12,0.243,2.115,241.154,40.933,0.848,0.933,0.008,745.166,15.434,16.977,0.145
6200,1.0,306.649,199.096,266.992,173.529,13.414,13.427,11.015,0.247,2.165,242.557,41.451,0.859,0.944,0.008,749.5,15.524,17.076,0.146
6300,1.0,303.703,200.364,268.692,175.676,13.58,13.375,10.909,0.25,2.216,244.004,41.963,0.869,0.956,0.008,753.972,15.616,17.178,0.146
6400,1.0,300.737,201.556,270.291,177.803,13.745,13.324,10.802,0.254,2.267,245.497,42.471,0.88,0.968,0.008,758.586,15.712,17.283,0.147
6500,1.0,297.749,202.671,271.787,179.91,13.908,13.272,10.695,0.257,2.32,247.038,42.975,0.89,0.979,0.008,763.348,15.81,17.391,0.148
6600,1.0,293.529,202.873,272.057,181.42,14.024,13.177,10.544,0.261,2.373,248.864,43.335,0.898,0.987,0.008,768.991,15.927,17.52,0.149
6700,1.0,289.29,202.972,272.191,182.893,14.138,13.083,10.391,0.264,2.427,250.763,43.687,0.905,0.995,0.008,774.856,16.049,17.654,0.15
6800,1.0,285.032,202.969,272.187,184.33,14.249,12.988,10.238,0.268,2.482,252.736,44.031,0.912,1.003,0.009,780.955,16.175,17.793,0.152
6900,1.0,280.754,202.863,272.044,185.73,14.358,12.893,10.085,0.271,2.537,254.789,44.365,0.919,1.011,0.009,787.298,16.306,17.937,0.153
7000,1.0,276.457,202.654,271.763,187.093,14.463,12.799,9.93,0.275,2.594,256.925,44.691,0.926,1.018,0.009,793.897,16.443,18.087,0.154
